cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-4,1-3-3,480000,0,480000.0,53.4,316790.4,60,60,30801.0,TIMEOUT_MAX,6031486,3015649,0,1564516354,179

# Améliorations
solution_num,temps_ms,cout
1,53.4,67945.0
2,54.8,67823.0
3,56.9,67755.0
4,59.9,67699.0
5,72.0,67475.0
6,74.4,67407.0
7,76.2,67351.0
8,83.6,67339.0
9,84.3,67283.0
10,100.6,67185.0
11,101.5,67117.0
12,105.9,67061.0
13,117.3,66920.0
14,117.7,66769.0
15,121.7,66713.0
16,156.5,66645.0
17,1625.3,65099.0
18,1627.9,65031.0
19,1964.3,65019.0
20,1998.4,64963.0
21,2262.5,36864.0
22,2264.4,36796.0
23,2269.3,36788.0
24,2270.2,36720.0
25,2273.2,36680.0
26,2304.0,36619.0
27,2304.3,36468.0
28,2309.5,36400.0
29,2321.3,36332.0
30,2485.9,36256.0
31,2493.4,36188.0
32,2543.4,36160.0
33,2550.3,36120.0
34,2655.2,36052.0
35,2708.2,35984.0
36,3030.0,35928.0
37,7246.9,34506.0
38,7249.5,34438.0
39,7286.2,34382.0
40,7300.8,34370.0
41,7340.2,34314.0
42,7883.9,33146.0
43,7884.5,32995.0
44,7891.7,32647.0
45,10996.8,31846.0
46,10997.5,31695.0
47,10998.8,31415.0
48,11005.7,31347.0
49,11021.4,31279.0
50,11569.6,31211.0
51,14202.4,31157.0
52,14326.4,31089.0
53,14635.0,31033.0
54,17492.2,31021.0
55,20200.8,30965.0
56,38800.3,30937.0
57,54470.6,30925.0
58,54878.2,30869.0
59,303951.3,30857.0
60,316790.4,30801.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
40,7300.8,34370.0,"33835; 0; 2; 128; 5; 10; 163; 20; 27; 24; 0; 121; 16; 19"
41,7340.2,34314.0,"33781; 0; 2; 128; 5; 10; 163; 20; 27; 24; 0; 121; 16; 17"
42,7883.9,33146.0,"32633; 0; 4; 144; 6; 10; 123; 15; 31; 24; 0; 121; 18; 17"
43,7884.5,32995.0,"32485; 0; 4; 144; 5; 10; 123; 15; 31; 24; 0; 121; 16; 17"
44,7891.7,32647.0,"32143; 0; 4; 144; 5; 10; 123; 15; 25; 24; 0; 121; 16; 17"
45,10996.8,31846.0,"31345; 0; 2; 130; 6; 10; 123; 15; 31; 24; 0; 121; 22; 17"
46,10997.5,31695.0,"31197; 0; 2; 130; 5; 10; 123; 15; 31; 24; 0; 121; 20; 17"
47,10998.8,31415.0,"30921; 0; 2; 130; 5; 10; 123; 15; 25; 24; 0; 121; 22; 17"
48,11005.7,31347.0,"30855; 0; 2; 130; 5; 10; 123; 15; 25; 24; 0; 121; 20; 17"
49,11021.4,31279.0,"30789; 0; 2; 130; 5; 10; 123; 15; 25; 24; 0; 121; 18; 17"
50,11569.6,31211.0,"30723; 0; 2; 130; 5; 10; 123; 15; 25; 24; 0; 121; 16; 17"
51,14202.4,31157.0,"30667; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 18; 19"
52,14326.4,31089.0,"30601; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 16; 19"
53,14635.0,31033.0,"30547; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 16; 17"
54,17492.2,31021.0,"30535; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 14; 19"
55,20200.8,30965.0,"30481; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 14; 17"
56,38800.3,30937.0,"30454; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 14; 16"
57,54470.6,30925.0,"30442; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 12; 18"
58,54878.2,30869.0,"30388; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 12; 16"
59,303951.3,30857.0,"30376; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 10; 18"
60,316790.4,30801.0,"30322; 0; 2; 128; 5; 10; 123; 15; 25; 24; 0; 121; 10; 16"
